scenario_name,replication,divisions_per_day,min_feasible_days,is_feasible
scen0,0,3,16,True
scen0,1,3,17,True
scen0,2,3,18,True
scen0,3,3,16,True
scen0,4,3,16,True
scen0,5,3,16,True
scen0,6,3,18,True
scen0,7,3,17,True
scen0,8,3,15,True
scen0,9,3,16,True
scen0,10,3,17,True
scen0,11,3,19,True
scen0,12,3,18,True
scen0,13,3,17,True
scen0,14,3,17,True
scen0,15,3,16,True
scen0,16,3,15,True
scen0,17,3,15,True
scen0,18,3,17,True
scen0,19,3,16,True
scen0,20,3,16,True
scen0,21,3,16,True
scen0,22,3,16,True
scen0,23,3,16,True
scen0,24,3,16,True
scen0,25,3,16,True
scen0,26,3,17,True
scen0,27,3,17,True
scen0,28,3,16,True
scen0,29,3,17,True
scen0,30,3,17,True
scen0,31,3,17,True
scen0,32,3,18,True
scen0,33,3,16,True
scen0,34,3,17,True
scen0,35,3,17,True
scen0,36,3,17,True
scen0,37,3,17,True
scen0,38,3,17,True
scen0,39,3,18,True
scen0,40,3,16,True
scen0,41,3,16,True
scen0,42,3,17,True
scen0,43,3,17,True
scen0,44,3,17,True
scen0,45,3,17,True
scen0,46,3,17,True
scen0,47,3,19,True
scen0,48,3,17,True
scen0,49,3,17,True
scen0,50,3,16,True
scen0,51,3,16,True
scen0,52,3,17,True
scen0,53,3,17,True
scen0,54,3,20,True
scen0,55,3,16,True
scen0,56,3,18,True
scen0,57,3,16,True
scen0,58,3,15,True
scen0,59,3,17,True
scen0,60,3,17,True
scen0,61,3,19,True
scen0,62,3,18,True
scen0,63,3,17,True
scen0,64,3,16,True
scen0,65,3,17,True
scen0,66,3,19,True
scen0,67,3,17,True
scen0,68,3,15,True
scen0,69,3,16,True
scen0,70,3,16,True
scen0,71,3,19,True
scen0,72,3,16,True
scen0,73,3,18,True
scen0,74,3,18,True
scen0,75,3,17,True
scen0,76,3,17,True
scen0,77,3,16,True
scen0,78,3,15,True
scen0,79,3,16,True
scen0,80,3,16,True
scen0,81,3,17,True
scen0,82,3,18,True
scen0,83,3,17,True
scen0,84,3,15,True
scen0,85,3,16,True
scen0,86,3,19,True
scen0,87,3,17,True
scen0,88,3,16,True
scen0,89,3,17,True
scen0,90,3,16,True
scen0,91,3,17,True
scen0,92,3,18,True
scen0,93,3,18,True
scen0,94,3,16,True
scen0,95,3,18,True
scen0,96,3,18,True
scen0,97,3,18,True
scen0,98,3,18,True
scen0,99,3,17,True
scen1,0,3,18,True
scen1,1,3,15,True
scen1,2,3,17,True
scen1,3,3,16,True
scen1,4,3,16,True
scen1,5,3,15,True
scen1,6,3,15,True
scen1,7,3,17,True
scen1,8,3,16,True
scen1,9,3,16,True
scen1,10,3,19,True
scen1,11,3,16,True
scen1,12,3,17,True
scen1,13,3,17,True
scen1,14,3,19,True
scen1,15,3,17,True
scen1,16,3,19,True
scen1,17,3,18,True
scen1,18,3,18,True
scen1,19,3,16,True
scen1,20,3,17,True
scen1,21,3,16,True
scen1,22,3,17,True
scen1,23,3,18,True
scen1,24,3,18,True
scen1,25,3,17,True
scen1,26,3,15,True
scen1,27,3,17,True
scen1,28,3,17,True
scen1,29,3,16,True
scen1,30,3,16,True
scen1,31,3,18,True
scen1,32,3,18,True
scen1,33,3,16,True
scen1,34,3,18,True
scen1,35,3,17,True
scen1,36,3,16,True
scen1,37,3,16,True
scen1,38,3,17,True
scen1,39,3,17,True
scen1,40,3,17,True
scen1,41,3,17,True
scen1,42,3,16,True
scen1,43,3,17,True
scen1,44,3,18,True
scen1,45,3,19,True
scen1,46,3,17,True
scen1,47,3,17,True
scen1,48,3,18,True
scen1,49,3,17,True
scen1,50,3,17,True
scen1,51,3,17,True
scen1,52,3,17,True
scen1,53,3,16,True
scen1,54,3,18,True
scen1,55,3,16,True
scen1,56,3,17,True
scen1,57,3,19,True
scen1,58,3,17,True
scen1,59,3,17,True
scen1,60,3,16,True
scen1,61,3,16,True
scen1,62,3,18,True
scen1,63,3,17,True
scen1,64,3,18,True
scen1,65,3,16,True
scen1,66,3,16,True
scen1,67,3,17,True
scen1,68,3,16,True
scen1,69,3,17,True
scen1,70,3,19,True
scen1,71,3,17,True
scen1,72,3,17,True
scen1,73,3,20,True
scen1,74,3,17,True
scen1,75,3,18,True
scen1,76,3,17,True
scen1,77,3,18,True
scen1,78,3,16,True
scen1,79,3,18,True
scen1,80,3,16,True
scen1,81,3,17,True
scen1,82,3,19,True
scen1,83,3,16,True
scen1,84,3,16,True
scen1,85,3,17,True
scen1,86,3,19,True
scen1,87,3,19,True
scen1,88,3,19,True
scen1,89,3,17,True
scen1,90,3,17,True
scen1,91,3,18,True
scen1,92,3,16,True
scen1,93,3,18,True
scen1,94,3,17,True
scen1,95,3,18,True
scen1,96,3,18,True
scen1,97,3,18,True
scen1,98,3,16,True
scen1,99,3,17,True
scen2,0,3,16,True
scen2,1,3,17,True
scen2,2,3,16,True
scen2,3,3,19,True
scen2,4,3,17,True
scen2,5,3,17,True
scen2,6,3,16,True
scen2,7,3,16,True
scen2,8,3,17,True
scen2,9,3,16,True
scen2,10,3,17,True
scen2,11,3,15,True
scen2,12,3,18,True
scen2,13,3,16,True
scen2,14,3,15,True
scen2,15,3,17,True
scen2,16,3,17,True
scen2,17,3,19,True
scen2,18,3,16,True
scen2,19,3,16,True
scen2,20,3,18,True
scen2,21,3,17,True
scen2,22,3,17,True
scen2,23,3,18,True
scen2,24,3,17,True
scen2,25,3,16,True
scen2,26,3,17,True
scen2,27,3,19,True
scen2,28,3,15,True
scen2,29,3,17,True
scen2,30,3,16,True
scen2,31,3,17,True
scen2,32,3,16,True
scen2,33,3,17,True
scen2,34,3,15,True
scen2,35,3,19,True
scen2,36,3,16,True
scen2,37,3,16,True
scen2,38,3,17,True
scen2,39,3,16,True
scen2,40,3,19,True
scen2,41,3,17,True
scen2,42,3,17,True
scen2,43,3,16,True
scen2,44,3,15,True
scen2,45,3,20,True
scen2,46,3,16,True
scen2,47,3,17,True
scen2,48,3,17,True
scen2,49,3,17,True
scen2,50,3,16,True
scen2,51,3,15,True
scen2,52,3,15,True
scen2,53,3,17,True
scen2,54,3,17,True
scen2,55,3,17,True
scen2,56,3,17,True
scen2,57,3,16,True
scen2,58,3,18,True
scen2,59,3,17,True
scen2,60,3,18,True
scen2,61,3,16,True
scen2,62,3,18,True
scen2,63,3,19,True
scen2,64,3,15,True
scen2,65,3,17,True
scen2,66,3,16,True
scen2,67,3,19,True
scen2,68,3,17,True
scen2,69,3,18,True
scen2,70,3,15,True
scen2,71,3,15,True
scen2,72,3,17,True
scen2,73,3,17,True
scen2,74,3,16,True
scen2,75,3,17,True
scen2,76,3,17,True
scen2,77,3,18,True
scen2,78,3,17,True
scen2,79,3,17,True
scen2,80,3,18,True
scen2,81,3,19,True
scen2,82,3,17,True
scen2,83,3,16,True
scen2,84,3,18,True
scen2,85,3,16,True
scen2,86,3,17,True
scen2,87,3,18,True
scen2,88,3,18,True
scen2,89,3,17,True
scen2,90,3,17,True
scen2,91,3,19,True
scen2,92,3,18,True
scen2,93,3,18,True
scen2,94,3,16,True
scen2,95,3,16,True
scen2,96,3,17,True
scen2,97,3,17,True
scen2,98,3,17,True
scen2,99,3,19,True
scen3,0,3,18,True
scen3,1,3,17,True
scen3,2,3,18,True
scen3,3,3,17,True
scen3,4,3,17,True
scen3,5,3,16,True
scen3,6,3,17,True
scen3,7,3,18,True
scen3,8,3,17,True
scen3,9,3,17,True
scen3,10,3,16,True
scen3,11,3,19,True
scen3,12,3,18,True
scen3,13,3,17,True
scen3,14,3,18,True
scen3,15,3,18,True
scen3,16,3,17,True
scen3,17,3,16,True
scen3,18,3,17,True
scen3,19,3,18,True
scen3,20,3,15,True
scen3,21,3,18,True
scen3,22,3,17,True
scen3,23,3,17,True
scen3,24,3,17,True
scen3,25,3,18,True
scen3,26,3,18,True
scen3,27,3,17,True
scen3,28,3,18,True
scen3,29,3,17,True
scen3,30,3,17,True
scen3,31,3,16,True
scen3,32,3,16,True
scen3,33,3,18,True
scen3,34,3,18,True
scen3,35,3,16,True
scen3,36,3,17,True
