outload_key,num_samples,avg_obj
0,2,2721111.4375
0,4,2744441.125
0,6,2789166.5556666665
1,2,3424967.59375
1,4,3484825.0
1,6,3570928.722333333
2,2,3366334.75
2,4,3498279.6875
2,6,3422388.1666666665
3,2,3458164.4444444445
3,4,3609910.5625
3,6,3539358.5553333336
4,2,3514560.375
4,4,3567124.1666666665
4,6,3550807.8333333335
5,2,3674986.5
5,4,3702211.5625
5,6,3750625.5556666665
6,2,3623480.4166666665
6,4,3604841.75
6,6,3622731.4443333335
7,2,3163098.785714286
7,4,3071402.5625
7,6,3171293.333
8,2,3513724.0714285714
8,4,3492977.55
8,6,3494977.111
9,2,3530412.625
9,4,3601844.125
9,6,3607124.611333333
10,2,3303285.3571428573
10,4,3497804.5625
10,6,3453983.5556666665
11,2,3488918.3571428573
11,4,3472021.21875
11,6,3507742.389
12,2,3388272.625
12,4,3530624.75
12,6,3430002.2220000005
13,2,3580929.3333333335
13,4,3614616.9166666665
13,6,3661605.167
14,2,3272012.75
14,4,3472862.3333333335
14,6,3360848.83325
15,2,3500783.285714286
15,4,3514730.0
15,6,3521385.7220000005
16,2,3282394.3571428573
16,4,3316185.5625
16,6,3351951.66675
17,2,3725655.1666666665
17,4,3781926.5
17,6,3793892.111
18,2,3544101.714285714
18,4,3622308.1875
18,6,3610467.222333333
19,2,3357407.0
19,4,3399039.4375
19,6,3479656.611
20,2,3301771.0
20,4,3295665.5
20,6,3324659.0
21,2,3629847.3333333335
21,4,3775101.75
21,6,3750826.167
22,2,3473722.6458333335
22,4,3560057.15625
22,6,3513718.8333333335
23,2,3240529.35
23,4,3356095.875
23,6,3397009.5556666665
24,2,3459490.5714285714
24,4,3530728.625
24,6,3542054.611333333
25,2,3302902.75
25,4,3391217.0625
25,6,3383227.5556666665
26,2,3489794.8333333335
26,4,3589108.0
26,6,3608167.1666666665
27,2,3417637.4
27,4,3375799.7
27,6,3370580.83325
28,2,3206588.5
28,4,3240323.3125
28,6,3230174.292
