outload_key,num_samples,y_open[6],y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],avg_obj,count
0,2,0,1,0,0,0,1,2835642.1875,8
0,2,0,1,0,0,1,0,2800449.0625,8
0,2,0,1,1,0,0,0,2950864.375,8
0,4,0,1,0,0,0,1,2832172.25,4
0,4,0,1,0,0,1,0,2857641.71875,4
0,4,0,1,1,0,0,0,2834461.8125,4
0,6,0,1,0,0,0,1,2887085.6666666665,3
0,6,0,1,0,0,1,0,2810342.222333333,3
1,2,0,1,0,0,0,1,3577504.0,8
1,2,0,1,0,0,1,0,3469111.40625,8
1,4,0,1,0,0,0,1,3548535.875,4
1,4,0,1,0,0,1,0,3676154.0625,4
1,4,0,1,1,0,0,0,3612447.3125,4
1,6,0,1,0,0,0,1,3610251.5556666665,3
1,6,0,1,0,0,1,0,3660532.777666667,3
1,6,0,1,1,0,0,0,3670410.7220000005,3
2,2,0,1,0,0,0,1,3449525.5,6
2,2,0,1,0,0,1,0,3578250.8333333335,6
2,2,0,1,0,1,0,0,3802850.0833333335,6
2,2,1,0,0,0,0,1,3556866.9166666665,6
2,4,0,1,0,0,0,1,3643654.25,4
2,4,0,1,0,0,1,0,3661449.0625,4
2,4,0,1,1,0,0,0,3767901.5625,4
2,6,0,1,0,0,0,1,3479801.5,3
2,6,0,1,0,0,1,0,3516427.222333333,3
3,2,0,1,0,0,0,1,3499643.0555555555,9
3,2,0,1,1,0,0,0,3709438.9444444445,9
3,4,0,1,0,0,0,1,3681409.75,4
3,4,0,1,0,0,1,0,3753710.625,4
3,4,0,1,1,0,0,0,3701094.9375,4
3,6,0,1,0,0,0,1,3792265.3333333335,3
3,6,0,1,0,0,1,0,3655960.277666667,3
3,6,0,1,1,0,0,0,3669387.8333333335,3
4,2,0,1,0,0,0,1,3692942.625,8
4,2,0,1,0,0,1,0,3603510.9375,8
4,4,0,1,0,0,0,1,3610977.1666666665,3
4,4,0,1,0,0,1,0,3805590.8333333335,3
4,4,1,0,0,0,0,1,3693772.5833333335,3
4,6,0,1,0,0,0,1,3573954.5553333336,3
4,6,0,1,0,0,1,0,3653511.111333333,3
5,2,0,1,0,0,0,1,3912482.285714286,7
5,2,0,1,0,0,1,0,3912543.214285714,7
5,2,0,1,1,0,0,0,3833400.714285714,7
5,4,0,1,0,0,1,0,3720684.375,4
5,4,1,0,1,0,0,0,3982493.3125,4
5,6,0,1,0,0,0,1,3750625.5556666665,3
6,2,0,1,0,0,0,1,3723550.5833333335,6
6,2,0,1,0,0,1,0,3895997.5,6
6,2,0,1,1,0,0,0,3810793.5833333335,6
6,2,1,0,0,1,0,0,4109921.0,6
6,4,0,1,0,0,0,1,3786696.6,5
6,4,0,1,0,0,1,0,3634620.0,5
6,6,0,1,0,0,0,1,3766985.5003333334,3
6,6,0,1,0,0,1,0,3669005.277666667,3
7,2,0,1,0,0,0,1,3273176.1428571427,7
7,2,0,1,0,0,1,0,3230967.1428571427,7
7,2,0,1,1,0,0,0,3346652.8571428573,7
7,4,0,0,1,0,0,1,3160135.0,1
7,4,0,1,0,0,0,1,3078858.625,4
7,4,0,1,1,0,0,0,3165672.5,3
7,6,0,0,0,0,0,0,3231765.0,1
7,6,0,0,1,0,0,1,3286926.3053333336,3
7,6,0,1,0,0,0,1,3141933.208,2
8,2,0,1,0,0,0,1,3644428.1428571427,7
8,2,0,1,0,0,1,0,3617863.9285714286,7
8,2,0,1,1,0,0,0,3790618.5,7
8,4,0,1,0,0,0,1,3510474.85,5
8,4,0,1,1,0,0,0,3658488.35,5
8,6,0,1,0,0,0,1,3527960.5,3
8,6,0,1,1,0,0,0,3582565.2779999995,3
9,2,0,1,0,0,0,1,3637020.6666666665,3
9,2,0,1,0,0,1,0,3565636.9,5
9,2,0,1,1,0,0,0,3642856.0,4
9,4,0,1,0,0,0,1,3970017.625,2
9,4,0,1,0,0,1,0,3682694.0,2
9,6,0,1,0,0,0,1,3607124.611333333,3
10,2,0,1,0,0,0,1,3525656.4285714286,7
10,2,0,1,0,0,1,0,3458981.785714286,7
10,2,0,1,1,0,0,0,3562468.214285714,7
10,4,0,1,0,0,0,1,3558031.0625,4
10,4,0,1,0,0,1,0,3501156.0625,4
10,6,0,1,0,0,0,1,3592875.889,3
10,6,0,1,1,0,0,0,3554323.8333333335,3
11,2,0,1,0,0,0,1,3645866.785714286,7
11,2,0,1,0,0,1,0,3596985.285714286,7
11,2,0,1,1,0,0,0,3668835.6428571427,7
11,4,0,1,0,0,0,1,3522161.90625,4
11,4,0,1,0,0,1,0,3662933.625,4
11,4,0,1,1,0,0,0,3712345.0625,4
11,6,0,1,0,0,0,1,3529743.4446666664,3
11,6,0,1,0,0,1,0,3688326.888666667,3
12,2,0,1,0,0,0,1,3417325.0,4
12,2,0,1,0,0,1,0,3638687.625,4
12,2,0,1,1,0,0,0,3520209.75,4
12,2,1,0,0,0,0,1,3499697.5,4
12,4,0,1,0,0,0,1,3535131.1,5
12,4,0,1,0,0,1,0,3643413.6,5
12,6,0,1,0,0,0,1,3492801.833,3
12,6,0,1,0,0,1,0,3460633.277666667,3
13,2,0,1,0,0,0,1,3613155.75,6
13,2,0,1,0,1,0,0,3920670.6666666665,6
13,2,0,1,1,0,0,0,3776635.4166666665,6
13,4,0,1,0,0,1,0,3649918.0,2
13,4,0,1,1,0,0,0,3678975.1875,4
13,6,0,1,0,0,0,1,3746847.167,3
13,6,0,1,0,0,1,0,3675914.389,3
14,2,0,1,0,0,0,1,3447986.6666666665,6
14,2,0,1,0,0,1,0,3494653.6666666665,6
14,4,0,1,0,0,0,1,3527137.2916666665,3
14,4,0,1,0,0,1,0,3509958.1666666665,3
14,4,0,1,1,0,0,0,3578138.875,3
14,6,0,1,0,0,0,1,3413923.45825,4
14,6,0,1,1,0,0,0,3494301.41675,4
15,2,0,0,1,1,0,0,3960220.785714286,7
15,2,0,1,0,0,0,1,3711628.3571428573,7
15,2,0,1,0,0,1,0,3560762.214285714,7
15,4,0,1,0,0,0,1,3567410.5,3
15,4,0,1,0,0,1,0,3556613.4583333335,3
15,4,0,1,1,0,0,0,3607201.5,3
15,6,0,1,0,0,0,1,3584125.0556666665,3
15,6,0,1,1,0,0,0,3537598.333,3
16,2,0,1,0,0,0,1,3396052.1428571427,7
16,2,0,1,0,0,1,0,3373476.6428571427,7
16,2,0,1,1,0,0,0,3446519.714285714,7
