outload_key,num_samples,number_of_replications
0,2,8
0,4,4
0,6,3
1,2,8
1,4,4
1,6,3
2,2,6
2,4,4
2,6,3
3,2,9
3,4,4
3,6,3
4,2,8
4,4,3
4,6,3
5,2,7
5,4,4
5,6,3
6,2,6
6,4,5
6,6,3
7,2,7
7,4,4
7,6,3
8,2,7
8,4,5
8,6,3
9,2,4
9,4,2
9,6,3
10,2,7
10,4,4
10,6,3
11,2,7
11,4,4
11,6,3
12,2,4
12,4,5
12,6,3
13,2,6
13,4,3
13,6,3
14,2,6
14,4,3
14,6,4
15,2,7
15,4,3
15,6,3
16,2,7
16,4,4
16,6,4
17,2,3
17,4,4
17,6,3
18,2,7
18,4,4
18,6,3
19,2,7
19,4,4
19,6,3
20,2,6
20,4,4
20,6,3
21,2,9
21,4,3
21,6,3
22,2,6
22,4,4
22,6,3
23,2,10
23,4,4
23,6,3
24,2,7
24,4,4
24,6,3
25,2,6
25,4,4
25,6,3
26,2,6
26,4,3
26,6,3
27,2,5
27,4,5
27,6,4
28,2,7
28,4,4
28,6,4
