outload_key,num_samples,unique_solution_count
0,2,3
0,4,3
0,6,2
1,2,2
1,4,3
1,6,3
2,2,4
2,4,3
2,6,2
3,2,2
3,4,3
3,6,3
4,2,2
4,4,3
4,6,2
5,2,3
5,4,2
5,6,1
6,2,4
6,4,2
6,6,2
7,2,3
7,4,3
7,6,3
8,2,3
8,4,2
8,6,2
9,2,3
9,4,2
9,6,1
10,2,3
10,4,2
10,6,2
11,2,3
11,4,3
11,6,2
12,2,4
12,4,2
12,6,2
13,2,3
13,4,2
13,6,2
14,2,2
14,4,3
14,6,2
15,2,3
15,4,3
15,6,2
16,2,3
16,4,4
16,6,2
17,2,3
17,4,2
17,6,2
18,2,3
18,4,3
18,6,2
19,2,3
19,4,2
19,6,3
20,2,3
20,4,3
20,6,2
21,2,2
21,4,3
21,6,2
22,2,3
22,4,3
22,6,2
23,2,2
23,4,3
23,6,3
24,2,3
24,4,3
24,6,2
25,2,4
25,4,3
25,6,3
26,2,4
26,4,3
26,6,2
27,2,4
27,4,2
27,6,1
28,2,3
28,4,3
28,6,1
