scenario,wall_time,final_day_add,objective_value,y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],y_open[12]
scen0,1.4994828701019287,0,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen1,3.2460899353027344,5,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen2,1.5210635662078857,0,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen3,3.7243192195892334,4,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen4,2.3036601543426514,0,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen5,1.9309349060058594,1,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen6,11.285848379135132,12,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen7,4.805715799331665,1,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen8,1.9770245552062988,0,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen9,2.5678443908691406,0,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen10,2.1544253826141357,1,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen11,2.5752079486846924,4,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen12,1.889000415802002,1,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen13,1.8459510803222656,0,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen14,2.1009058952331543,1,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen15,2.0060839653015137,0,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen16,2.0033071041107178,2,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen17,1.8470120429992676,0,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen18,1.2455172538757324,1,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen19,2.387331008911133,2,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen20,1.6650002002716064,4,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen21,1.6073718070983887,0,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen22,3.2033729553222656,5,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen23,1.9229533672332764,0,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen24,1.52055025100708,1,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen25,1.6310646533966064,0,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen26,1.3310961723327637,0,0,1.0,-0.0,0.0,0.0,0.0,1.0
scen27,2.4254279136657715,2,0,1.0,-0.0,0.0,0.0,0.0,1.0
