scenario,wall_time,final_day_add,objective_value,y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],y_open[12]
scen0,5.858738899230957,3,0,0.0,0.0,0.0,1.0,1.0,0.0
scen1,7.800198316574097,0,0,0.0,0.0,0.0,1.0,1.0,0.0
scen2,2.649348258972168,3,0,0.0,0.0,0.0,1.0,1.0,0.0
scen3,9.23686170578003,1,0,0.0,0.0,0.0,1.0,1.0,0.0
scen4,13.078774690628052,2,0,0.0,0.0,0.0,1.0,1.0,0.0
scen5,8.077871561050415,4,0,0.0,0.0,0.0,1.0,1.0,0.0
scen6,18.386910438537598,3,0,0.0,0.0,0.0,1.0,1.0,0.0
scen7,5.976446628570557,1,0,0.0,0.0,0.0,1.0,1.0,0.0
scen8,4.945920467376709,3,0,0.0,0.0,0.0,1.0,1.0,0.0
scen9,14.00297212600708,3,0,0.0,0.0,0.0,1.0,1.0,0.0
scen10,3.50475811958313,3,0,0.0,0.0,0.0,1.0,1.0,0.0
scen11,4.006364822387695,1,0,0.0,0.0,0.0,1.0,1.0,0.0
scen12,10.02414584159851,3,0,0.0,0.0,0.0,1.0,1.0,0.0
scen13,4.820016860961914,7,0,0.0,0.0,0.0,1.0,1.0,0.0
scen14,2.5595383644104004,4,0,0.0,0.0,0.0,1.0,1.0,0.0
scen15,17.942938804626465,11,0,0.0,0.0,0.0,1.0,1.0,0.0
scen16,8.039052248001099,7,0,0.0,0.0,0.0,1.0,1.0,0.0
scen17,2.5424234867095947,4,0,0.0,0.0,0.0,1.0,1.0,0.0
scen18,4.596174240112305,4,0,0.0,0.0,0.0,1.0,1.0,0.0
scen19,8.357167720794678,4,0,0.0,0.0,0.0,1.0,1.0,0.0
scen20,2.930159091949463,5,0,0.0,0.0,0.0,1.0,1.0,0.0
scen21,14.72116208076477,4,0,0.0,0.0,0.0,1.0,1.0,0.0
scen22,10.952844142913818,0,0,0.0,0.0,0.0,1.0,1.0,0.0
scen23,4.50925874710083,4,0,0.0,0.0,0.0,1.0,1.0,0.0
scen24,9.250423431396484,2,0,0.0,0.0,0.0,1.0,1.0,0.0
scen25,8.61270546913147,4,0,0.0,0.0,0.0,1.0,1.0,0.0
scen26,10.92809247970581,4,0,0.0,0.0,0.0,1.0,1.0,0.0
scen27,3.7175326347351074,1,0,0.0,0.0,0.0,1.0,1.0,0.0
scen28,3.5921616554260254,2,0,0.0,0.0,0.0,1.0,1.0,0.0
scen29,8.674699783325195,5,0,0.0,0.0,0.0,1.0,1.0,0.0
scen30,3.2375032901763916,1,0,0.0,0.0,0.0,1.0,1.0,0.0
scen31,2.578259229660034,3,0,0.0,0.0,0.0,1.0,1.0,0.0
scen32,4.71138334274292,3,0,0.0,0.0,0.0,1.0,1.0,0.0
