scenario,wall_time,y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],y_open[12]
scen1,41.55608510971069,0.0,1.0,0.0,0.0,1.0,0.0
scen2,26.595476627349854,1.0,0.0,0.0,0.0,0.0,1.0
scen3,36.83367443084717,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen4,40.60328006744385,1.0,-0.0,1.0,-0.0,0.0,-0.0
scen5,31.86423134803772,0.0,1.0,-0.0,-0.0,0.0,1.0
scen6,60.008166551589966,-0.0,1.0,1.0,-0.0,-0.0,0.0
scen7,18.62063217163086,0.0,1.0,0.0,0.0,0.0,1.0
scen8,17.87699317932129,1.0,-0.0,-0.0,-0.0,-0.0,1.0
scen9,89.79754781723022,1.0,-0.0,1.0,-0.0,-0.0,-0.0
scen10,15.989211082458496,-0.0,1.0,-0.0,-0.0,1.0,0.0
scen11,25.625280618667603,1.0,0.0,0.0,0.0,1.0,0.0
scen12,24.133865118026733,0.0,1.0,0.0,0.0,0.0,1.0
scen13,20.32374906539917,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen14,25.054195642471313,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen15,11.65454363822937,1.0,-0.0,-0.0,-0.0,-0.0,1.0
scen16,10.402391910552979,-0.0,1.0,-0.0,0.0,-0.0,1.0
scen17,49.80041527748108,1.0,-0.0,0.0,0.0,0.0,1.0
scen18,30.072100162506104,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen19,35.436440229415894,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen20,12.350475072860718,0.0,1.0,0.0,0.0,0.0,1.0
scen21,21.369220495224,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen22,46.63237285614014,1.0,-0.0,-0.0,1.0,-0.0,-0.0
scen23,16.030678749084473,-0.0,1.0,1.0,-0.0,-0.0,-0.0
scen24,28.602524280548096,-0.0,1.0,-0.0,0.0,0.0,1.0
scen25,26.52562141418457,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen26,40.3479425907135,0.0,1.0,-0.0,-0.0,1.0,-0.0
scen27,58.020512342453,1.0,-0.0,1.0,-0.0,-0.0,-0.0
scen28,30.02777361869812,0.0,1.0,0.0,0.0,1.0,0.0
scen29,33.111173152923584,1.0,-0.0,-0.0,-0.0,-0.0,1.0
scen30,77.1178777217865,-0.0,1.0,1.0,-0.0,-0.0,-0.0
scen31,20.61611247062683,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen32,93.21820068359375,1.0,0.0,1.0,0.0,-0.0,0.0
scen33,50.828011989593506,-0.0,1.0,0.0,-0.0,1.0,-0.0
scen34,13.280240774154663,1.0,-0.0,-0.0,-0.0,-0.0,1.0
scen35,34.157923460006714,1.0,-0.0,-0.0,-0.0,1.0,-0.0
scen36,16.663793087005615,0.0,1.0,0.0,0.0,-0.0,1.0
scen37,32.80117058753967,1.0,0.0,0.0,-0.0,0.0,1.0
scen38,24.971317529678345,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen39,19.215204000473022,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen40,75.56417870521545,0.0,1.0,0.0,0.0,1.0,0.0
scen41,30.325343370437622,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen42,18.48241353034973,1.0,-0.0,0.0,0.0,0.0,1.0
scen43,60.692655086517334,1.0,-0.0,-0.0,0.0,1.0,-0.0
scen44,33.349090814590454,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen45,60.1306049823761,1.0,-0.0,-0.0,-0.0,-0.0,1.0
scen46,24.89456272125244,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen47,63.00842213630676,-0.0,1.0,1.0,0.0,-0.0,-0.0
scen48,7.2322142124176025,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen49,28.127347946166992,1.0,-0.0,-0.0,-0.0,-0.0,1.0
