Origin,Destination,Ship,TravelTime
9,9,1,0
9,9,2,0
9,9,3,0
9,9,4,0
9,9,5,0
9,9,6,0
9,9,7,0
9,9,8,0
9,10,1,1
9,10,2,1
9,10,3,1
9,10,4,1
9,10,5,1
9,10,6,1
9,10,7,1
9,10,8,1
9,11,1,1
9,11,2,1
9,11,3,1
9,11,4,1
9,11,5,1
9,11,6,1
9,11,7,1
9,11,8,1
9,12,1,1
9,12,2,1
9,12,3,1
9,12,4,1
9,12,5,2
9,12,6,2
9,12,7,2
9,12,8,1
9,13,1,23
9,13,2,21
9,13,3,17
9,13,4,20
9,13,5,22
9,13,6,16
9,13,7,15
9,13,8,16
10,9,1,1
10,9,2,1
10,9,3,1
10,9,4,1
10,9,5,1
10,9,6,1
10,9,7,1
10,9,8,1
10,10,1,0
10,10,2,0
10,10,3,0
10,10,4,0
10,10,5,0
10,10,6,0
10,10,7,0
10,10,8,0
10,11,1,1
10,11,2,2
10,11,3,1
10,11,4,1
10,11,5,1
10,11,6,1
10,11,7,2
10,11,8,1
10,12,1,3
10,12,2,2
10,12,3,3
10,12,4,2
10,12,5,3
10,12,6,2
10,12,7,2
10,12,8,2
10,13,1,23
10,13,2,18
10,13,3,19
10,13,4,16
10,13,5,28
10,13,6,17
10,13,7,17
10,13,8,20
11,9,1,1
11,9,2,1
11,9,3,1
11,9,4,1
11,9,5,1
11,9,6,1
11,9,7,1
11,9,8,1
11,10,1,2
11,10,2,1
11,10,3,1
11,10,4,2
11,10,5,1
11,10,6,2
11,10,7,2
11,10,8,2
11,11,1,0
11,11,2,0
11,11,3,0
11,11,4,0
11,11,5,0
11,11,6,0
11,11,7,0
11,11,8,0
11,12,1,1
11,12,2,1
11,12,3,1
11,12,4,1
11,12,5,1
11,12,6,1
11,12,7,1
11,12,8,1
11,13,1,14
11,13,2,14
11,13,3,12
11,13,4,14
11,13,5,14
11,13,6,14
11,13,7,13
11,13,8,16
12,9,1,1
12,9,2,1
12,9,3,2
12,9,4,1
12,9,5,2
12,9,6,2
12,9,7,2
12,9,8,2
12,10,1,3
12,10,2,2
12,10,3,3
12,10,4,3
12,10,5,3
12,10,6,2
12,10,7,2
12,10,8,3
12,11,1,1
12,11,2,1
12,11,3,1
12,11,4,1
12,11,5,1
12,11,6,1
12,11,7,1
12,11,8,1
12,12,1,0
12,12,2,0
12,12,3,0
12,12,4,0
12,12,5,0
12,12,6,0
12,12,7,0
12,12,8,0
12,13,1,16
12,13,2,16
12,13,3,15
12,13,4,16
12,13,5,12
12,13,6,13
12,13,7,19
12,13,8,16
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,6,0
0,9,7,0
0,9,8,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,0
0,10,8,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,11,7,0
0,11,8,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,12,7,0
0,12,8,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
0,13,7,0
0,13,8,0
