scenario_name,max_days
scen0,14
scen1,15
scen2,14
scen3,18
scen4,15
scen5,15
scen6,15
scen7,16
scen8,16
scen9,15
scen10,16
scen11,16
scen12,15
scen13,15
scen14,16
scen15,17
scen16,15
scen17,16
scen18,15
scen19,15
scen20,15
scen21,14
scen22,16
scen23,17
scen24,14
scen25,16
scen26,15
scen27,15
scen28,16
scen29,16
scen30,16
scen31,17
scen32,16
scen33,15
scen34,16
scen35,16
scen36,17
scen37,16
scen38,16
scen39,15
scen40,16
scen41,14
scen42,15
scen43,16
scen44,14
scen45,15
scen46,17
scen47,16
scen48,16
scen49,15
scen50,15
scen51,15
scen52,15
scen53,15
scen54,16
scen55,14
scen56,16
scen57,14
scen58,15
scen59,14
scen60,16
scen61,18
scen62,14
scen63,15
scen64,15
scen65,15
scen66,16
scen67,16
scen68,16
scen69,16
scen70,14
scen71,16
scen72,16
scen73,14
scen74,15
scen75,16
scen76,14
scen77,16
scen78,15
scen79,15
scen80,17
scen81,16
scen82,15
scen83,16
scen84,17
scen85,15
scen86,15
scen87,18
scen88,15
scen89,19
scen90,14
scen91,16
scen92,16
scen93,14
scen94,16
scen95,15
scen96,15
scen97,16
scen98,17
scen99,16
