from,to,ship,travel_time
1,11,0,24
1,12,0,23
1,13,0,30
1,14,0,24
1,15,0,45
1,16,0,116
2,11,0,38
2,12,0,38
2,13,0,20
2,14,0,7
2,15,0,24
2,16,0,108
3,11,0,57
3,12,0,35
3,13,0,6
3,14,0,8
3,15,0,24
3,16,0,20
4,11,0,49
4,12,0,37
4,13,0,4
4,14,0,29
4,15,0,23
4,16,0,78
5,11,0,34
5,12,0,29
5,13,0,35
5,14,0,35
5,15,0,43
5,16,0,108
6,11,0,71
6,12,0,52
6,13,0,24
6,14,0,39
6,15,0,36
6,16,0,109
7,11,0,61
7,12,0,53
7,13,0,36
7,14,0,24
7,15,0,31
7,16,0,17
8,11,0,11
8,12,0,12
8,13,0,46
8,14,0,31
8,15,0,60
8,16,0,187
9,11,0,44
9,12,0,30
9,13,0,25
9,14,0,27
9,15,0,29
9,16,0,122
10,11,0,20
10,12,0,14
10,13,0,31
10,14,0,29
10,15,0,43
10,16,0,166
