from,to,ship,travel_time
1,11,0,66
1,12,0,23
1,13,0,34
1,14,0,28
1,15,0,50
1,16,0,32
2,11,0,94
2,12,0,33
2,13,0,20
2,14,0,10
2,15,0,27
2,16,0,29
3,11,0,151
3,12,0,36
3,13,0,3
3,14,0,9
3,15,0,24
3,16,0,6
4,11,0,141
4,12,0,35
4,13,0,5
4,14,0,32
4,15,0,23
4,16,0,18
5,11,0,90
5,12,0,27
5,13,0,38
5,14,0,36
5,15,0,51
5,16,0,25
6,11,0,187
6,12,0,47
6,13,0,27
6,14,0,42
6,15,0,44
6,16,0,30
7,11,0,163
7,12,0,48
7,13,0,41
7,14,0,29
7,15,0,40
7,16,0,4
8,11,0,24
8,12,0,12
8,13,0,52
8,14,0,34
8,15,0,71
8,16,0,52
9,11,0,103
9,12,0,30
9,13,0,26
9,14,0,33
9,15,0,32
9,16,0,30
10,11,0,57
10,12,0,14
10,13,0,34
10,14,0,34
10,15,0,47
10,16,0,38
