dim_1,dim_2,dim_3,dim_4,value
21,29,1,15,27480.0
21,29,11,20,27480.0
23,21,11,13,27480.0
23,28,8,20,1186.0
24,27,5,5,6760.0
24,31,8,1,28666.0
25,31,3,1,27480.0
25,31,5,1,27480.0
25,31,10,1,28666.0
25,31,12,1,28666.0
25,31,17,1,22792.0
26,29,12,7,1186.0
26,31,1,1,27480.0
26,31,2,1,27480.0
26,31,6,1,27480.0
26,31,7,1,16372.0
26,31,9,1,28666.0
26,31,11,1,28666.0
26,31,14,1,28666.0
26,31,15,1,20720.0
26,31,16,1,20720.0
27,25,5,6,27480.0
28,26,2,21,27480.0
28,29,2,58,27480.0
28,29,12,58,27480.0
28,30,8,55,1186.0
28,30,10,9,28666.0
29,25,12,10,1186.0
29,26,1,5,27480.0
29,26,11,12,28666.0
29,28,2,24,27480.0
29,28,12,56,27480.0
30,21,1,10,1185.999998844225
30,24,8,22,6732.999998844156
30,25,3,10,27480.0
30,25,10,22,28666.0
30,25,17,1,3.9199949242174636e-07
30,26,12,1,3.920176823157818e-07
30,26,17,1,3.9199949242174636e-07
