dim_1,dim_2,dim_3,value
1,21,2,1.0
1,21,3,1.0
1,21,4,1.0
1,21,5,1.0
1,21,6,1.0
1,21,7,1.0
1,21,8,1.0
1,21,9,1.0
1,21,10,1.0
1,21,11,1.0
1,21,12,1.0
1,21,13,1.0
1,21,14,1.0
1,21,15,1.0
1,21,16,1.0
1,21,17,1.0
1,21,18,1.0
1,21,19,1.0
1,21,20,1.0
1,21,21,1.0
1,21,22,1.0
1,21,23,1.0
1,21,24,1.0
1,21,25,1.0
1,21,26,1.0
1,21,27,1.0
1,21,28,1.0
1,21,29,1.0
1,21,30,1.0
1,21,31,1.0
1,21,32,1.0
1,21,33,1.0
1,21,34,1.0
1,21,35,1.0
1,21,36,1.0
1,21,37,1.0
1,21,38,1.0
1,21,39,1.0
1,21,40,1.0
1,21,41,1.0
1,21,42,1.0
1,21,43,1.0
1,21,44,1.0
1,21,45,1.0
1,21,46,1.0
1,21,47,1.0
1,21,48,1.0
1,21,49,1.0
1,21,50,1.0
1,21,51,1.0
1,21,52,1.0
1,21,53,1.0
1,21,54,1.0
1,21,55,1.0
1,21,56,1.0
1,21,57,1.0
1,21,58,1.0
1,21,59,1.0
1,21,60,1.0
1,22,19,1.0
1,22,20,1.0
1,22,21,1.0
1,22,22,1.0
1,22,23,1.0
1,22,24,1.0
1,22,25,1.0
1,22,26,1.0
1,22,27,1.0
1,22,28,1.0
1,22,29,1.0
1,22,30,1.0
1,22,31,1.0
1,22,32,1.0
1,22,33,1.0
1,22,34,1.0
1,22,35,1.0
1,22,36,1.0
1,22,37,1.0
1,22,38,1.0
1,22,39,1.0
1,22,40,1.0
1,22,41,1.0
1,22,42,1.0
1,22,43,1.0
1,22,44,1.0
1,22,45,1.0
1,22,46,1.0
1,22,47,1.0
1,22,48,1.0
1,22,49,1.0
1,22,50,1.0
1,22,51,1.0
1,22,52,1.0
1,22,53,1.0
1,22,54,1.0
1,22,55,1.0
1,22,56,1.0
1,22,57,1.0
1,22,58,1.0
1,22,59,1.0
1,22,60,1.0
1,23,21,1.0
1,23,22,1.0
1,23,23,1.0
1,23,24,1.0
1,23,25,1.0
1,23,26,1.0
1,23,27,1.0
1,23,28,1.0
1,23,29,1.0
1,23,30,1.0
1,23,31,1.0
1,23,32,1.0
1,23,33,1.0
1,23,34,1.0
1,23,35,1.0
1,23,36,1.0
1,23,37,1.0
1,23,38,1.0
1,23,39,1.0
1,23,40,1.0
1,23,41,1.0
1,23,42,1.0
1,23,43,1.0
1,23,44,1.0
1,23,45,1.0
1,23,46,1.0
1,23,47,1.0
1,23,48,1.0
1,23,49,1.0
1,23,50,1.0
1,23,51,1.0
1,23,52,1.0
1,23,53,1.0
1,23,54,1.0
1,23,55,1.0
1,23,56,1.0
1,23,57,1.0
1,23,58,1.0
1,23,59,1.0
1,23,60,1.0
1,24,22,1.0
1,24,23,1.0
1,24,24,1.0
1,24,25,1.0
1,24,26,1.0
1,24,27,1.0
1,24,28,1.0
1,24,29,1.0
1,24,30,1.0
1,24,31,1.0
1,24,32,1.0
1,24,33,1.0
1,24,34,1.0
1,24,35,1.0
1,24,36,1.0
1,24,37,1.0
1,24,38,1.0
1,24,39,1.0
1,24,40,1.0
1,24,41,1.0
1,24,42,1.0
1,24,43,1.0
1,24,44,1.0
1,24,45,1.0
1,24,46,1.0
1,24,47,1.0
1,24,48,1.0
1,24,49,1.0
1,24,50,1.0
1,24,51,1.0
1,24,52,1.0
1,24,53,1.0
1,24,54,1.0
1,24,55,1.0
1,24,56,1.0
1,24,57,1.0
1,24,58,1.0
1,24,59,1.0
1,24,60,1.0
1,25,38,1.0
1,25,39,1.0
1,25,40,1.0
1,25,41,1.0
1,25,42,1.0
1,25,43,1.0
1,25,44,1.0
1,25,45,1.0
1,25,46,1.0
1,25,47,1.0
1,25,48,1.0
1,25,49,1.0
1,25,50,1.0
1,25,51,1.0
1,25,52,1.0
1,25,53,1.0
1,25,54,1.0
1,25,55,1.0
1,25,56,1.0
1,25,57,1.0
1,25,58,1.0
1,25,59,1.0
1,25,60,1.0
1,26,38,1.0
1,26,39,1.0
1,26,40,1.0
1,26,41,1.0
1,26,42,1.0
1,26,43,1.0
1,26,44,1.0
1,26,45,1.0
1,26,46,1.0
1,26,47,1.0
1,26,48,1.0
1,26,49,1.0
1,26,50,1.0
1,26,51,1.0
1,26,52,1.0
1,26,53,1.0
1,26,54,1.0
1,26,55,1.0
1,26,56,1.0
1,26,57,1.0
1,26,58,1.0
1,26,59,1.0
1,26,60,1.0
1,27,30,1.0
1,27,31,1.0
1,27,32,1.0
1,27,33,1.0
1,27,34,1.0
1,27,35,1.0
1,27,36,1.0
1,27,37,1.0
1,27,38,1.0
1,27,39,1.0
1,27,40,1.0
1,27,41,1.0
1,27,42,1.0
1,27,43,1.0
1,27,44,1.0
1,27,45,1.0
1,27,46,1.0
1,27,47,1.0
1,27,48,1.0
1,27,49,1.0
1,27,50,1.0
1,27,51,1.0
1,27,52,1.0
1,27,53,1.0
1,27,54,1.0
1,27,55,1.0
1,27,56,1.0
1,27,57,1.0
1,27,58,1.0
1,27,59,1.0
1,27,60,1.0
1,28,24,1.0
1,28,25,1.0
1,28,26,1.0
1,28,27,1.0
