dim_1,dim_2,dim_3,dim_4,value
0,23,8,0,1.0
0,24,1,0,1.0
0,24,2,0,1.0
0,26,3,0,1.0
0,26,4,0,1.0
0,26,5,0,1.0
0,26,6,0,1.0
0,26,7,0,1.0
0,26,9,0,1.0
0,26,10,0,1.0
0,26,11,0,1.0
0,26,12,0,1.0
0,26,13,0,1.0
0,26,14,0,1.0
0,26,15,0,1.0
21,22,3,9,1.0
21,22,10,20,1.0
21,22,12,5,1.0
21,22,13,6,1.0
21,26,1,6,1.0
21,27,2,15,1.0
21,27,4,12,1.0
21,27,9,26,1.0
22,21,2,12,1.0
22,21,10,6,1.0
22,27,3,18,1.0
22,27,5,8,1.0
22,27,10,37,1.0
22,27,12,30,1.0
22,27,13,10,1.0
23,26,8,6,1.0
24,21,1,1,1.0
24,22,2,1,1.0
26,21,3,1,1.0
26,21,4,1,1.0
26,21,9,6,1.0
26,21,12,2,1.0
26,21,13,4,1.0
26,22,5,4,1.0
26,22,10,2,1.0
26,27,1,17,1.0
26,27,6,5,1.0
26,27,7,9,1.0
26,27,8,14,1.0
26,27,11,8,1.0
26,27,14,15,1.0
26,27,15,19,1.0
