dim_1,dim_2,dim_3,dim_4,value
0,23,11,0,1.0
0,24,4,0,1.0
0,24,5,0,1.0
0,26,6,0,1.0
0,26,7,0,1.0
0,26,8,0,1.0
0,26,9,0,1.0
0,26,10,0,1.0
0,26,12,0,1.0
0,26,13,0,1.0
0,26,14,0,1.0
0,26,15,0,1.0
0,26,16,0,1.0
0,26,17,0,1.0
0,26,18,0,1.0
0,30,1,0,1.0
0,30,2,0,1.0
0,30,3,0,1.0
21,21,1,1,1.0
21,21,1,2,1.0
21,21,1,3,1.0
21,21,1,4,1.0
21,21,1,5,1.0
21,21,1,6,1.0
21,21,1,7,1.0
21,21,1,8,1.0
21,21,1,9,1.0
21,21,1,10,1.0
21,21,1,11,1.0
21,21,1,12,1.0
21,21,1,13,1.0
21,21,1,14,1.0
21,21,1,15,1.0
21,21,1,16,1.0
21,21,1,17,1.0
21,21,1,18,1.0
21,21,1,19,1.0
21,21,1,20,1.0
21,21,1,21,1.0
21,21,1,22,1.0
21,21,1,23,1.0
21,21,1,24,1.0
21,21,1,25,1.0
21,21,1,26,1.0
21,21,1,27,1.0
21,21,1,28,1.0
21,21,1,29,1.0
21,21,1,30,1.0
21,21,1,31,1.0
21,21,1,32,1.0
21,21,1,33,1.0
21,21,1,34,1.0
21,21,1,35,1.0
21,21,1,36,1.0
21,21,1,37,1.0
21,21,1,38,1.0
21,21,1,39,1.0
21,21,1,40,1.0
21,21,1,41,1.0
21,21,1,42,1.0
21,21,1,43,1.0
21,21,1,44,1.0
21,21,1,45,1.0
21,21,1,46,1.0
21,21,1,47,1.0
21,21,1,48,1.0
21,21,1,49,1.0
21,21,1,50,1.0
21,21,1,51,1.0
21,21,1,52,1.0
21,21,1,53,1.0
21,21,1,54,1.0
21,21,1,55,1.0
21,21,1,56,1.0
21,21,1,57,1.0
21,21,1,58,1.0
21,21,1,59,1.0
21,21,1,60,1.0
21,21,2,1,1.0
21,21,2,2,1.0
21,21,2,3,1.0
21,21,2,4,1.0
